字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"我们不该这样的","张赫宣",,红色,分开,318 + 382、318 + 383,B - 左下单点^^^B - 右下单点,B - 左下单点^^^B - 右下单点,184,470,70 + 0.1,382、383,B - 右下单点,B - 右下单点,184,470,1022983,37 + 0.4
,,"不完美小孩","TFBOYS",,红色,分开,306 + 429、306 + 430、306 + 431、306 + 432、308 + 429、308 + 430、308 + 431、308 + 432、308 + 429、308 + 430,B - 左下长条开始^^^B - 左下单点,B - 左边长条中间^^^B - 右下单点,306,706,65 + 0.3,429、430、431、432,B - 左下单点,B - 右下单点,306,706,1198490,33 - 0.2
,,"Faded","Alan Walker",,红色,分开,329 + 388,B - 左边单点^^^B - 右下滑点,B - 右边单点^^^B - 左边长条结尾、右边长条结尾,199,443,60 + 0.3,329,B - 左边单点,B - 右边单点,199,443,909505,32 - 0.2
,,"唐人","孙子涵",,红色,分开,214 + 428、216 + 428,B - 右下单点^^^B - 左边右滑条开始,B - 右边单点^^^B - 左边单点,191,522,63 - 0.2,428,B - 左边右滑条开始,B - 左边单点,191,522,1056846,32 + 0.4
,,"微微一笑很倾城","杨洋",,,分开,454 + 539,B - 右下单点^^^B - 左下单点,B - 左边单点、右边单点^^^B - 左边单点、右边单点,345,677,65 + 0.4,454、539,B - 右下单点,B - 左边单点、右边单点,345,677,1299508,33 - 0.3
,,"逆战","张杰",,红色,分开,278 + 524,A - 左边滑点^^^B - 左边单点,A - 左边滑点^^^B - 左下单点,377,693,64 - 0.4,278,A - 左边滑点,A - 左边滑点,377,693,1194050,32 + 0.0
,,"李白","李荣浩",,红色,分开,236 + 503,A - 左下单点、右下单点^^^B - 左边长条中间,A - 右边长条开始^^^B - 左边单点、右边单点,343,658,78 + 0.1,503,B - 左边长条中间,B - 左边单点、右边单点,343,658,1384216,42 - 0.4
W,6,"Wonderland","gugudan",,红色,分开,223 + 509,A - 左边单点、右下单点^^^B - 左边滑点,A - 右边滑点^^^B - 左边单点、右边单点,384,674,80 - 0.4,223,A - 左边单点、右下单点,A - 右边滑点,384,674,1270879,40 + 0.1
W,7,"我们的歌","王力宏",,,分开,220 + 747,A - 右下单点^^^B - 左下单点,A - 左边单点^^^B - 右边单点,498,999,65 + 0.4,220、747,A - 右下单点,A - 左边单点,498,999,1667961,33 - 0.3
,,"浪漫惊喜","kent王健",100,红色,分开,80 + 135,A - 左边右滑条结尾、右边左滑条开始^^^A - 左下单点,A - 左边单点^^^A - 左下左滑条结尾、右下右滑条结尾,241,432,66 - 0.3,135,A - 左下单点,A - 左下左滑条结尾、右下右滑条结尾,241,432,791274,40 - 0.2
Y,9,"邮递马车","Hermann Necke",,红色,分开,331 + 625、331 + 627,B - 左边右滑条结尾、右边滑点^^^B - 右边单点,B - 左下单点、右下单点^^^B - 左下滑点、右边单点,282,811,107 + 0.2,331,B - 左边右滑条结尾、右边滑点,B - 左下单点、右下单点,282,811,1730178,59 - 0.4
H,6,"Here With You","Asher Book",,红色,分开,449 + 547、459 + 547,B - 左下单点^^^B - 右边滑点,B - 左下单点^^^B - 左下单点、右边单点,254,586,68 + 0.4,547,B - 右边滑点,B - 左下单点、右边单点,254,586,1196775,35 - 0.4
B,7,"Baby Boy","王心凌",,,分开,182 + 684、185 + 684、186 + 684、536 + 684、539 + 684、540 + 684,A - 右边滑点^^^B - 左边单点、右下单点,A - 左下单点^^^B - 左下单点、右边单点,406,930,71 + 0.2,684,B - 左边单点、右下单点,B - 左下单点、右边单点,406,930,1887664,37 + 0.3
,,"Bad Romance","Lady Gaga",,,分开,503 + 847、504 + 847,B - 左边左滑条右拐^^^B - 中间右滑条中间,B - 左边滑点^^^B - 左边长条结尾、右边单点,446,970,72 - 0.4,847,B - 中间右滑条中间,B - 左边长条结尾、右边单点,446,970,1537828,37 + 0.1
,,"有点甜","汪苏泷 / BY2",,红色,分开,117 + 320,A - 左下单点^^^B - 右边单点,A - 左下单点、右下单点^^^B - 左边单点、右边单点,257,554,66 - 0.1,320,B - 右边单点,B - 左边单点、右边单点,257,554,1075841,34 + 0.1
M,7,"没有选择","胡彦斌",,,分开,485 + 570、485 + 571、486 + 570、486 + 571,B - 左边单点^^^B - 左边单点,B - 左下单点、右下单点^^^B - 左边长条结尾、右边长条结尾,314,662,69 + 0.2,485、486,B - 左边单点,B - 左下单点、右下单点,314,662,1427352,35 - 0.4
,,"Jar Of Love","曲婉婷",,,分开,80 + 161,A - 右下右滑条中间^^^A - 右边长条开始,A - 左下单点、右下单点^^^A - 左边单点,303,719,69 + 0.1,159、161、164、165,A - 左下单点、右下单点,A - 左边单点、右下单点,303,719,1364455,36 - 0.3
,,"让我心动","Apink",,红色,分开,359 + 637,B - 左下单点、右下单点^^^B - 左下滑点,B - 右边长条开始^^^B - 左下左滑条开始、右下右滑条开始,289,724,75 + 0.3,359,B - 左下单点、右下单点,B - 右边长条开始,289,724,1284750,38 + 0.1
,,"动物森林","范玮琪",,红色,分开,116 + 332,A - 右下单点^^^B - 右下滑点,A - 右下长条结尾、左下单点^^^B - 右下右滑条结尾、左边单点,180,388,51 + 0.1,116,A - 右下单点,A - 右下长条结尾、左下单点,180,388,819620,26 - 0.2
,,"Always Online","林俊杰",,红色,分开,189 + 440、194 + 440,A - 左下单点^^^B - 右下单点,A - 左边单点^^^B - 右下单点,348,618,62 + 0.3,440,B - 右下单点,B - 右下单点,348,618,1115534,32 + 0.3
,,"帝都","萌萌哒天团",,红色,分开,286 + 385,B - 左边单点^^^B - 右下右滑条开始,B - 左下单点、右下单点^^^B - 左下单点、右下单点,189,514,65 + 0.1,286,B - 左边单点,B - 左下单点、右下单点,189,514,992133,35 + 0.1
,,"万有引力","汪苏泷",,红色,分开,166 + 227、168 + 227、174 + 227,B - 左边单点、右边单点^^^B - 左边单点,B - 左边单点^^^B - 右边滑点,124,292,58 + 0.3,227,B - 左边单点,B - 右边滑点,124,292,716506,31 + 0.1
O,7,"偶像万万岁","TimeZ",,红色,分开,596 + 869、596 + 870、598 + 869、598 + 870,B - 左下单点^^^B - 左边单点,B - 左下单点、右边单点^^^B - 左下滑点,469,1004,92 - 0.4,869、870,B - 左边单点,B - 左下滑点,469,1004,1775566,51 - 0.4
,,"猫步轻俏","AOA",,红色,分开,207 + 400,A - 左边单点^^^B - 左边单点,A - 右边左滑条结尾^^^B - 左边滑点、右边滑点,263,441,69 - 0.2,207,A - 左边单点,A - 右边左滑条结尾,263,441,1023159,35 - 0.1
K,9,"空想神话","妖精帝国",,,分开,1004 + 1099、1006 + 1104,B - 左边单点、右下单点^^^B - 左边长条中间、右边单点,B - 左边长条中间、右下单点^^^B - 左边单点、右边单点,674,1217,84 + 0.0,1006,B - 左边单点、右边长条开始,B - 左边长条中间、右边单点,674,1217,2402072,43 + 0.2
,,"给我一个理由忘记","A-Lin",,红色,分开,164 + 445、164 + 446,A - 左边长条中间、右下单点^^^B - 左下长条结尾,A - 左边单点、右边单点^^^B - 左边右滑条结尾、右边长条结尾,315,850,72 + 0.1,445、446,B - 左下长条结尾,B - 左边右滑条结尾、右边长条结尾,315,850,1278230,37 - 0.1
N,6,"你的微笑","飞儿乐团",,红色,分开,257 + 546,A - 左边滑点^^^B - 左边单点,A - 右下单点^^^B - 左下单点、右下单点,370,722,74 + 0.4,257,A - 左边滑点,A - 右下单点,370,722,1335075,39 - 0.3
Q,7,"七年的爱","金贤政",,红色,分开,349 + 444、351 + 444,B - 左下单点、右下单点^^^B - 左边长条中间、右边单点,B - 右边单点^^^B - 左边滑点、右边滑点,234,666,87 + 0.0,444,B - 左边长条中间、右边单点,B - 左边滑点、右边滑点,234,666,1402400,45 + 0.0
H,8,"火花","高耀太",,,分开,321 + 903,A - 左边右滑条中间^^^B - 右边单点,A - 中间单点、右边单点^^^B - 右边单点,470,1055,79 + 0.1,321,A - 左边右滑条中间,A - 中间单点、右边单点,470,1055,2034621,40 - 0.2
,,"Animals","Maroon 5",,红色,分开,323 + 418,B - 左下滑点^^^B - 左边单点,B - 右边单点^^^B - 左下单点、右边单点,221,481,65 + 0.0,323,B - 左下滑点,B - 右边单点,221,481,845127,33 + 0.1
,,"Trouble Is a Friend","Lenka",,红色,分开,161 + 524,A - 左边长条开始^^^B - 右下单点,A - 左边右滑条开始^^^B - 左下单点、右下单点,329,722,59 - 0.3,524,B - 右下单点,B - 左下单点、右下单点,329,722,1108860,31 - 0.3
D,7,"Doraradora","Fujigami Mai",,,分开,296 + 874、298 + 874,A - 左边单点、右边单点^^^B - 左下左滑条中间,A - 右边滑点^^^B - 左边单点、右边单点,495,959,79 - 0.4,874,B - 左下左滑条中间,B - 左边单点、右边单点,495,959,1734614,39 + 0.4
,,"Boom Clap","Charli XCX",,红色,分开,338 + 394、338 + 396,B - 左下单点^^^B - 右边单点,B - 左边单点、右边单点^^^B - 左边单点,183,443,77 + 0.4,338,B - 左下单点,B - 左边单点、右边单点,183,443,1092980,40 - 0.2
J,8,"禁绝边境线","Walküre",,,分开,286 + 633,A - 右下单点^^^B - 右边单点,A - 左下单点^^^B - 左边单点、右边单点,428,963,74 + 0.0,633,B - 右边单点,B - 左边单点、右边单点,428,963,1777851,38 - 0.4
,,"走着走着就散了","庄心妍",,红色,分开,187 + 452、187 + 469,A - 左下单点^^^B - 右边单点,A - 左下单点^^^B - 右下单点,295,561,66 + 0.0,187,A - 左下单点,A - 左下单点,295,561,1216980,34 - 0.4
B,6,"BONAMANA","Super Junior",,红色,分开,415 + 512,B - 右下右滑条中间^^^B - 左边单点,B - 右边单点^^^B - 右边长条中间、左边单点,243,633,92 - 0.3,415,B - 右下右滑条中间,B - 右边单点,243,633,1594173,47 + 0.4
B,8,"Bright Spring","M2U",,,分开,735 + 825,B - 左边长条结尾、右边单点^^^B - 右下长条中间、左边滑点,B - 右下单点^^^B - 左边滑点、右边滑点,444,916,88 + 0.4,749,B - 右边长条中间、左下滑点,B - 左边单点、右边单点,444,916,1727590,45 - 0.2
,,"娃娃脸","后弦",,红色,分开,298 + 506,B - 左边右滑条开始^^^B - 左边单点、右边单点,B - 左边单点^^^B - 左下单点,298,623,64 - 0.1,506,B - 左边单点、右边单点,B - 左下单点,298,623,1161518,33 + 0.1
,,"Try Everything","Shakira",,红色,分开,195 + 397,A - 右边单点^^^B - 右边左滑条开始,A - 左边单点^^^B - 右下单点,306,643,59 + 0.3,397,B - 右边左滑条开始,B - 右下单点,306,643,1130996,31 + 0.1
C,10,"Crossing Field","LiSA",,,分开,130 + 456、130 + 1123,A - 左下单点、右边单点^^^A - 左边单点、右边单点,A - 左边单点、右边单点^^^A - 右边左滑条结尾、左边单点,597,1351,107 - 0.4,130,A - 左下单点、右边单点,A - 左边单点、右边单点,597,1351,2829690,54 - 0.4
,,"触动心触动爱","BY2",,红色,分开,267 + 415,B - 左边滑点^^^B - 右边单点,B - 右边左滑条结尾、左边单点^^^B - 右下单点,244,473,63 - 0.3,415,B - 右边单点,B - 右下单点,244,473,900680,33 - 0.3
,,"背对背拥抱","林俊杰",,红色,分开,240 + 513,A - 左边右滑条结尾、右下单点^^^B - 左边滑点,A - 左边单点、中间单点^^^B - 中间单点,395,684,67 + 0.2,240,A - 左边右滑条结尾、右下单点,A - 左边单点、中间单点,395,684,1195153,34 + 0.1
I,9,"I Knew You Were Trouble","Taylor Swift",,,分开,639 + 782,B - 左下单点、右下单点^^^B - 左下单点,B - 左边长条中间、右边长条中间^^^B - 左边单点、右边单点,597,1108,100 + 0.4,782,B - 左下单点,B - 左边单点、右边单点,597,1108,2049138,51 + 0.2
L,8,"L.I.E","EXID",,,分开,244 + 465,A - 左下单点、右下单点^^^B - 左边右滑条开始,A - 右下长条中间^^^B - 左下单点,465,799,68 - 0.3,465,B - 左边右滑条开始,B - 左下单点,465,799,1485154,34 + 0.2
B,6,"Bad Girl","吴亦凡",,,分开,167 + 499,A - 右下滑点^^^B - 右下滑点,A - 左边单点^^^B - 左边长条结尾、右边长条结尾,301,734,64 - 0.4,499,B - 右下滑点,B - 左边长条结尾、右边长条结尾,301,734,1392895,34 - 0.2
B,6,"Booty Music","Git Fresh",,,分开,305 + 571、308 + 571,A - 左边单点^^^B - 左下单点,A - 左边单点^^^B - 左边单点,396,726,68 - 0.3,305、308,A - 左边单点,A - 左边单点,396,726,1342059,35 + 0.2
,,"New Divide","Linkin Park",,红色,分开,256 + 549,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边左滑条开始^^^B - 右边左滑条开始,394,635,73 + 0.2,256,A - 左边单点、右边单点,A - 左边左滑条开始,394,635,1187701,39 - 0.1
,,"黑暗骑士","林俊杰/五月天",,红色,分开,208 + 560,A - 左下单点^^^B - 右下单点,A - 右下单点^^^B - 右边长条结尾、左边单点,326,629,67 - 0.3,208,A - 左下单点,A - 右下单点,326,629,1218001,34 - 0.4
,,"后会无期","徐良/汪苏泷",,红色,分开,117 + 295、117 + 296、117 + 302、117 + 303、118 + 295、118 + 296、118 + 302、118 + 303、124 + 295、124 + 296,A - 右边单点^^^B - 左边单点,A - 右边单点^^^B - 左边单点,198,393,64 - 0.2,117、118、124、129、295、296、302、303,A - 右边单点,A - 右边单点,198,393,764753,32 - 0.1
,,"歌谣","李荣浩",,,分开,524 + 598、524 + 600、525 + 598、525 + 600,B - 左边右滑条中间^^^B - 右下单点,B - 右边单点^^^B - 右边长条结尾,398,874,69 - 0.4,524,B - 左边右滑条中间,B - 右边单点,398,874,1477203,35 - 0.1
,,"淘汰","陈奕迅",,红色,分开,249 + 470、249 + 472、249 + 473、249 + 470、249 + 472、249 + 473,B - 右边单点^^^B - 右下长条中间,B - 左边左滑条结尾^^^B - 右下长条中间、左下单点,229,566,56 - 0.1,249,B - 右边单点,B - 左边左滑条结尾,229,566,888671,28 + 0.3
,,"今天你要嫁给我","陶喆/蔡依林",,红色,分开,173 + 223,B - 右边单点^^^B - 右边左滑条结尾、左下左滑条开始,B - 右边左滑条中间^^^B - 左下单点、右边单点,148,391,66 + 0.3,173,B - 右边单点,B - 右边左滑条中间,148,391,819456,36 - 0.4
,,"太阳雨","QQ炫舞原创",,红色,分开,241 + 307,B - 右边左滑条中间^^^B - 左下单点,B - 左边单点^^^B - 左下单点,201,383,65 - 0.2,241,B - 右边左滑条中间,B - 左边单点,201,383,759209,34 - 0.4
,,"桃花旗袍","BY2",,红色,分开,199 + 541、200 + 541,A - 左下右滑条左拐^^^B - 左下单点、右下单点,A - 左边长条结尾、右边长条结尾^^^B - 左边长条结尾、右边长条结尾,294,642,75 + 0.2,199、200,A - 左下右滑条左拐,A - 左边长条结尾、右边长条结尾,294,642,1129247,40 - 0.3
Y,7,"YESTERDAY","Block B",,,分开,115 + 530、116 + 530,A - 左下单点^^^B - 右下单点,A - 左边单点^^^B - 左边左滑条结尾、右边左滑条结尾,352,751,62 - 0.2,530,B - 右下单点,B - 左边左滑条结尾、右边左滑条结尾,352,751,1471090,31 + 0.0
N,6,"你的声音不会消失","fumika",,红色,分开,143 + 540、144 + 540,A - 右边单点^^^B - 右下滑点,A - 左下单点^^^B - 右边单点,372,838,77 + 0.2,540,B - 右下滑点,B - 右边单点,372,838,1386481,39 - 0.2
,,"一笑倾城","汪苏泷",,红色,分开,136 + 432,A - 右边单点^^^B - 右下单点,A - 右下单点^^^B - 右下单点,259,554,63 + 0.3,432,B - 右下单点,B - 右下单点,259,554,1169520,33 - 0.4
J,6,"Just Dance","Lady GaGa",,,分开,234 + 418,A - 左下左滑条开始、右下右滑条开始^^^B - 右边滑点,A - 左下单点、右下单点^^^B - 右边长条结尾、左边单点,321,651,70 - 0.2,418,B - 右边滑点,B - 右边长条结尾、左边单点,321,651,1435008,37 + 0.4
G,6,"Good Time","Owl City",,红色,分开,158 + 344,A - 左下单点^^^B - 右边滑点,A - 左下左滑条开始^^^B - 右下单点,278,548,65 - 0.4,344,B - 右边滑点,B - 右下单点,278,548,1131574,32 + 0.4
L,7,"Landing","温岚",,红色,分开,175 + 531、176 + 531,A - 左边单点^^^B - 右边单点,A - 左边单点^^^B - 左边单点,337,657,76 - 0.5,175、176,A - 左边单点,A - 左边单点,337,657,1416027,38 + 0.0
,,"漫时光","QQ炫舞",,,分开,245 + 490,A - 左下单点^^^B - 右下单点,A - 左边单点^^^B - 右边单点,414,683,63 + 0.2,245、490,A - 左下单点,A - 左边单点,414,683,1329689,32 - 0.4
,,"FIVE","Apink",,红色,分开,244 + 447、244 + 448、244 + 449、244 + 447、244 + 448、244 + 449、245 + 447、245 + 448、245 + 449、246 + 447,A - 右下单点^^^B - 右下单点,A - 右下滑点^^^B - 右边滑点,323,554,62 + 0.3,447、448、449,B - 右下单点,B - 右边滑点,323,554,1104501,31 + 0.3
P,6,"Poker Face","Lady Gaga",,红色,分开,218 + 501、219 + 501、220 + 501,A - 左下单点^^^B - 左下左滑条开始、右下右滑条开始,A - 右边单点^^^B - 左边单点、右边单点,340,669,81 - 0.4,218、219、220,A - 左下单点,A - 右边单点,340,669,1330226,42 + 0.0
K,9,"卡农","Pachelbel",,,分开,241 + 312,A - 左边单点、右边单点^^^A - 左边单点、右边单点,A - 中间单点、右边单点^^^A - 左边单点、右下单点,493,960,82 + 0.0,312,A - 左边单点、右边单点,A - 左边单点、右下单点,493,960,2134925,42 - 0.4
P,10,"Play 我呸","蔡依林",,,分开,80 + 826、80 + 827,A - 左边单点、右边单点^^^B - 右下单点,A - 右边滑点^^^B - 左下滑点、右下单点,500,985,90 + 0.4,826、827,B - 右下单点,B - 左下滑点、右下单点,500,985,2463129,46 + 0.4
J,8,"JELLY JELLY","TWICE",,,分开,322 + 572,A - 左下单点^^^B - 左边长条开始、右边滑点,A - 左下单点、右边单点^^^B - 左边左滑条开始,493,944,87 - 0.3,572,B - 左边长条开始、右边滑点,B - 左边左滑条开始,493,944,1983994,48 - 0.2
,,"Right Now","rihanna",,,分开,97 + 337、97 + 339,A - 左边单点^^^A - 右边单点,A - 左下长条结尾、右下单点^^^A - 右下单点,481,833,62 - 0.1,337、339,A - 右边单点,A - 右下单点,481,833,1458584,32 - 0.2
A,9,"曖昧スクリーム","平野绫",,,分开,779 + 923、781 + 923,B - 左下单点^^^B - 左边右滑条中间、右边左滑条中间,B - 左边长条结尾、右边长条结尾^^^B - 左下滑点,703,1398,81 - 0.5,923,B - 左边右滑条中间、右边左滑条中间,B - 左下滑点,703,1398,2583244,41 - 0.2
W,6,"What Makes You Beautiful","One Direction",,红色,分开,74 + 308,A - 左边滑点^^^B - 左下单点,A - 右下单点^^^B - 左边单点,237,567,65 + 0.4,308,B - 左下单点,B - 左边单点,237,567,1168886,33 - 0.5
,,"小酒窝","林俊杰",,红色,分开,123 + 348,A - 左边单点^^^B - 右边单点,A - 右边长条开始^^^B - 左边长条开始,293,538,62 - 0.4,123、348,A - 左边单点,A - 右边长条开始,293,538,1013109,31 - 0.2
,,"专属味道","汪苏泷/林希儿",,,分开,662 + 739,B - 左边单点^^^B - 左边长条中间,B - 左边长条开始^^^B - 左下滑点,420,816,57 - 0.3,739,B - 左边长条中间,B - 左下滑点,420,816,1316863,29 - 0.1
S,9,"Sparkling Daydream","ZAQ",20,,分开,393 + 910,A - 左边单点、右边单点^^^B - 左边单点、右边单点,A - 左边单点^^^B - 左边左滑条结尾、右边右滑条结尾,573,1256,89 - 0.2,393,A - 左边单点、右边单点,A - 左边单点,573,1256,2595836,45 - 0.3
S,9,"SHIORI","ClariS",,,分开,318 + 915、318 + 916,A - 右边长条中间、左边单点^^^B - 中间单点,A - 右边右滑条结尾、左边单点^^^B - 左边单点、右边单点,484,1223,88 + 0.0,915、916,B - 中间单点,B - 左边单点、右边单点,484,1223,2318359,44 + 0.2
,,"怎样说清此刻的心情","BY2",,红色,分开,196 + 464,A - 右边滑点^^^B - 左边单点、右边长条开始,A - 左下单点、右边单点^^^B - 左下左滑条结尾、右下右滑条结尾,329,575,66 + 0.0,196,A - 右边滑点,A - 左下单点、右边单点,329,575,1047527,33 + 0.4
