字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"微微一笑很倾城","杨洋",,,分开,136 + 366,A - 左边连点第 1 个^^^B - 右边连点第 1 个,A - 左边单点^^^B - 右边白球,229,522,63 - 0.5,366,B - 右边连点第 1 个,B - 右边白球,229,522,1210987,32 - 0.3
Y,9,"邮递马车","Hermann Necke",,红色,分开,249 + 372、249 + 373、249 + 374、249 + 375、249 + 376、249 + 377、249 + 385、249 + 387、249 + 388、249 + 390,B - 左边长条结尾、右边长条开始^^^B - 右边连点第 1 个,B - 左边单点、右边长条结尾^^^B - 左边连点第 1 个,202,512,75 - 0.5,249,B - 左边长条结尾、右边长条开始,B - 左边单点、右边长条结尾,202,512,1374785,40 - 0.5
,,"让我心动","Apink",,红色,分开,221 + 332,B - 右边单点^^^B - 左边滑键,B - 左边白球^^^B - 左边白球,173,422,63 + 0.1,332,B - 左边滑键,B - 左边白球,173,422,1092494,33 - 0.1
,,"触动心触动爱","BY2",,红色,分开,39 + 248,A - 左边单点^^^B - 左边单点,A - 右边滑键^^^B - 左边单点、右边单点,116,270,55 + 0.4,39,A - 左边单点,A - 右边滑键,116,270,770131,29 + 0.4
,,"动物森林","范玮琪",,红色,分开,92 + 242、92 + 243,A - 右边白球^^^B - 右边单点,A - 左边单点^^^B - 右边长条结尾,124,297,54 - 0.3,242、243,B - 右边单点,B - 右边长条结尾,124,297,840372,28 - 0.3
G,6,"给我一个理由忘记","A-Lin",,红色,分开,159 + 266,A - 左边长条开始^^^B - 左边滑键、右边长条中间,A - 左边白球^^^B - 左边单点、右边长条结尾,245,680,72 - 0.3,266,B - 左边滑键、右边长条中间,B - 左边单点、右边长条结尾,245,680,1290988,39 + 0.1
,,"Faded","Alan Walker",,红色,分开,314 + 402,B - 左边长条开始^^^B - 左边滑键,B - 左边长条结尾、右边单点^^^B - 左边白球、右边长条结尾,203,475,61 + 0.0,314,B - 左边长条开始,B - 左边长条结尾、右边单点,203,475,857466,31 + 0.1
,,"Trouble Is a Friend","Lenka",,红色,分开,56 + 427、56 + 433,A - 左边长条开始、右边长条开始^^^B - 左边单点,A - 右边连点第 1 个^^^B - 右边单点,249,598,67 + 0.1,427、433,B - 左边单点,B - 右边单点,249,598,1154891,35 - 0.5
,,"背对背拥抱","林俊杰",,红色,分开,126 + 321,A - 左边滑键^^^B - 右边白球,A - 左边单点^^^B - 左边滑键,272,474,57 + 0.3,321,B - 右边白球,B - 左边滑键,272,474,1026814,29 + 0.0
S,9,"SHIORI","ClariS",,,分开,638 + 822,B - 左边白球、右边白球^^^B - 左边长条开始、右边滑键,B - 左边白球、右边白球^^^B - 左边白球、右边白球,419,1011,100 + 0.3,638,B - 左边白球、右边白球,B - 左边白球、右边白球,419,1011,2527931,52 - 0.5
