字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Animals","Maroon 5",,红色,分开,60 + 329,A - 一轨长条开始^^^B - 四轨长条中间,A - 四轨长条中间^^^B - 一轨单点、四轨单点,201,362,44 + 0.2,329,B - 四轨长条中间,B - 一轨单点、四轨单点,201,362,595689,24 + 0.3
,,"Faded","Alan Walker",,红色,分开,60 + 300,A - 四轨单点^^^B - 二轨单点,A - 三轨长条结尾^^^B - 四轨单点,156,345,40 + 0.0,300,B - 二轨单点,B - 四轨单点,156,345,592728,21 - 0.4
,,"动物森林","范玮琪",,红色,分开,183 + 263、184 + 263,B - 三轨单点^^^B - 二一轨滑键,B - 一轨长条结尾、四轨单点^^^B - 二轨单点,137,305,48 - 0.2,183、184,B - 三轨单点,B - 一轨长条结尾、四轨单点,137,305,707816,24 + 0.0
H,6,"Here With You","Asher Book",,红色,分开,120 + 429,A - 二轨长条开始^^^B - 一轨单点、四轨单点,A - 四三轨滑键^^^B - 二轨长条结尾、三轨长条结尾,236,502,70 - 0.1,429,B - 一轨单点、四轨单点,B - 二轨长条结尾、三轨长条结尾,236,502,1216148,39 - 0.3
,,"逆战","张杰",,红色,分开,66 + 199,A - 三轨单点^^^B - 二轨单点,A - 二一轨滑键、三四轨滑键^^^B - 四三轨滑键,179,350,66 + 0.2,66,A - 三轨单点,A - 二一轨滑键、三四轨滑键,179,350,1047867,37 - 0.5
,,"Trouble Is a Friend","Lenka",,红色,分开,345 + 406、345 + 408,B - 四轨单点^^^B - 一轨单点,B - 二轨单点、四轨长条结尾^^^B - 四轨单点,220,592,64 - 0.2,406、408,B - 一轨单点,B - 四轨单点,220,592,1116841,33 - 0.1
O,7,"偶像万万岁","TimeZ",,,分开,66 + 455,A - 四轨单点^^^B - 一轨单点、四轨单点,A - 二轨单点、三轨单点^^^B - 四轨长条中间,272,572,63 - 0.3,66,A - 四轨单点,A - 二轨单点、三轨单点,272,572,1188274,32 + 0.1
J,6,"Jar Of Love","曲婉婷",,红色,分开,201 + 455,A - 三轨单点^^^B - 三轨单点,A - 四轨单点^^^B - 四轨长条左滑,281,769,73 - 0.5,455,B - 三轨单点,B - 四轨长条左滑,281,769,1401277,40 - 0.2
P,10,"Play 我呸","蔡依林",50,,分开,637 + 735,B - 二轨单点^^^B - 二轨长条中间,B - 二轨长条中间、四轨长条左滑^^^B - 三轨单点,570,1130,97 - 0.5,717、723,B - 一轨长条中间、四轨单点,B - 二轨长条中间、四轨长条结尾,570,1130,2402599,52 - 0.4
,,"我们都一样","张杰",,,分开,420 + 478,B - 一轨长条开始^^^B - 二轨单点,B - 三轨长条结尾^^^B - 三轨长条中间,327,530,47 - 0.3,420,B - 一轨长条开始,B - 三轨长条结尾,327,530,936154,24 + 0.1
