字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"微微一笑很倾城","杨洋",,,366,B - 右边连点第 1 个,B - 右边白球,229,522,1210987,32 - 0.3
Y,9,"邮递马车","Hermann Necke",,红色,249,B - 左边长条结尾、右边长条开始,B - 左边单点、右边长条结尾,202,512,1376376,40 - 0.2
,,"让我心动","Apink",,红色,332,B - 左边滑键,B - 左边白球,173,422,1092494,33 - 0.1
,,"触动心触动爱","BY2",,红色,39,A - 左边单点,A - 右边滑键,116,270,770131,29 + 0.4
,,"动物森林","范玮琪",,红色,242、243,B - 右边单点,B - 右边长条结尾,124,297,840372,28 - 0.3
G,6,"给我一个理由忘记","A-Lin",,红色,266,B - 左边滑键、右边长条中间,B - 左边单点、右边长条结尾,245,680,1292579,39 + 0.4
,,"Faded","Alan Walker",,红色,314,B - 左边长条开始,B - 左边长条结尾、右边单点,203,475,857466,31 + 0.1
,,"Trouble Is a Friend","Lenka",,红色,433,B - 左边单点、右边长条结尾,B - 左边长条结尾、右边单点,249,598,1156482,35 - 0.2
,,"背对背拥抱","林俊杰",,红色,321,B - 右边白球,B - 左边滑键,272,474,1026814,29 + 0.0
S,9,"SHIORI","ClariS",,,638,B - 左边白球、右边白球,B - 左边白球、右边白球,419,1011,2527931,52 - 0.5
,,"逆战","张杰",,红色,109、109,A - 右边滑键（cool）、左边白球,A - 右边白球,184,359,1177867,38 - 0.5
,,"李白","李荣浩",,红色,375,B - 右边连点第 1 个,B - 右边连点第 3 个,229,435,1250873,34 - 0.2
R,6,"Right Now","rihanna",,红色,139、139,A - 右边单点（cool）、左边单点,A - 右边白球,445,858,1502621,41 + 0.0
,,"Bad Romance","Lady Gaga",,红色,292,B - 左边白球、右边单点,B - 左边连点第 3 个,180,362,1259024,35 + 0.0
K,9,"卡农","Pachelbel",100,,881,B - 左边长条结尾、右边滑键,B - 右边单点,426,931,2192848,41 - 0.2
H,7,"好想大声说喜欢你","BAAD",,,317,B - 左边单点、右边单点,B - 左边长条结尾、右边长条结尾,252,638,1466499,37 + 0.4
T,6,"Telephone","Lady GaGa",,,167,A - 左边长条开始、右边长条结尾,A - 右边白球,280,537,1368949,33 + 0.1
J,8,"JELLY JELLY","TWICE",,,520,B - 左边白球、右边长条结尾,B - 右边单点,362,672,1777344,36 - 0.2
G,6,"Good Time","Owl City",,红色,330,B - 左边长条结尾,B - 右边滑键,238,431,1157884,36 - 0.2
A,9,"曖昧スクリーム","平野绫",,,446、447、452、453、909,A - 左边长条开始,A - 左边长条开始、右边长条结尾,592,1143,2207634,36 - 0.1
,,"素颜","许嵩/何曼婷",,红色,148、149、150,B - 右边单点,B - 左边滑键,79,213,460265,22 - 0.4
,,"恋爱幸运曲奇","AKB48",,红色,84,A - 左边长条开始,A - 左边白球,168,405,852475,27 - 0.5
,,"因你而在","林俊杰",,红色,177,A - 右边白球,A - 左边长条中间、右边长条中间,239,502,1064290,34 - 0.5
X,6,"幸福的节拍","杨丞琳",,红色,196、196,A - 左边滑键（cool）、右边滑键,A - 左边长条结尾、右边长条结尾,259,584,1293520,37 - 0.5
,,"恋爱循环","花泽香菜",,红色,30、30,A - 左边单点（cool）、右边白球,A - 右边滑键,127,262,965373,36 + 0.0
,,"我们都一样","张杰",,,320,B - 左边连点第 1 个,B - 左边长条开始,198,372,1055522,27 + 0.3
,,"桃花旗袍","BY2",100,红色,251,B - 左边白球,B - 左边白球、右边长条中间,142,355,936336,38 - 0.1
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,299,B - 右边长条中间,B - 左边长条结尾、右边长条结尾,247,545,1082975,29 + 0.1
