字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Animals","Maroon 5",,红色,329,B - 四轨长条中间,B - 一轨单点、四轨单点,201,362,597280,25 - 0.4
,,"Faded","Alan Walker",,红色,300,B - 二轨单点,B - 四轨单点,156,345,592728,21 - 0.4
,,"动物森林","范玮琪",,红色,183、184,B - 三轨单点,B - 一轨长条结尾、四轨单点,137,305,707816,24 + 0.0
H,6,"Here With You","Asher Book",,红色,429,B - 三轨单点（cool）、一轨单点、四轨单点,B - 二轨长条结尾、三轨长条结尾,236,502,1216268,40 - 0.3
,,"逆战","张杰",,红色,66,A - 三轨单点,A - 二一轨滑键、三四轨滑键,179,350,1047867,37 - 0.5
,,"Trouble Is a Friend","Lenka",,红色,407、407,B - 一轨单点（cool）、一轨单点,B - 四轨单点,220,592,1117081,35 - 0.1
O,7,"偶像万万岁","TimeZ",,,66,A - 四轨单点,A - 二轨单点、三轨单点,272,572,1188274,32 + 0.1
J,6,"Jar Of Love","曲婉婷",,红色,455,B - 三轨单点,B - 四轨长条左滑,281,769,1401277,40 - 0.2
P,10,"Play 我呸","蔡依林",50,,717、723,B - 一轨长条中间、四轨单点,B - 二轨长条中间、四轨长条结尾,570,1130,2403118,52 - 0.1
,,"我们都一样","张杰",,,420,B - 一轨长条开始,B - 三轨长条结尾,327,530,936154,24 + 0.1
,,"一笑倾城","汪苏泷",,红色,320、320,B - 一轨单点（cool）、三轨单点,B - 三轨单点、二轨单点（cool）,161,409,1058696,35 + 0.1
B,6,"Bad Romance","Lady Gaga",,红色,483,B - 二轨单点、四轨单点,B - 二一轨滑键、三四轨滑键,253,539,1447264,41 + 0.0
J,9,"JELLY JELLY","TWICE",,,708、715,B - 一轨单点、四轨单点,B - 一轨单点、三轨单点,401,760,1684349,35 - 0.5
,,"CALL ME BABY","EXO",,红色,316、316,B - 二轨单点（cool）、三轨单点,B - 二轨单点、三轨长条结尾,163,400,837371,31 + 0.3
B,6,"Bad Girl","吴亦凡",,,490、491、492、493,B - 一轨单点,B - 一轨长条结尾、四轨单点,345,836,1608596,34 + 0.3
G,6,"Good Time","Owl City",,红色,491,B - 一轨长条右滑,B - 一轨长条结尾、三轨单点,284,592,1260885,45 - 0.4
