字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"唐人","孙子涵",,红色,266、267,B - 右下角数字 3 绿条结尾,B - 下面数字 1 蓝条结尾,131,354,831540,25 + 0.4
,,"Animals","Maroon 5",,红色,164,B - 左上角数字 6 单点,B - 右边数字 7 绿条中间,99,187,372042,14 - 0.4
W,7,"Wonderland","gugudan",,红色,107、113、219、225、243、249,A - 右上角数字 3 单点,A - 左边数字 9 单点、右边数字 9 单点,164,317,887049,29 + 0.2
,,"我们不该这样的","张赫宣",,红色,248、248、248、249、249,B - 中间数字 5 单点（cool）、下面数字 6 单点,B - 中间数字 8 单点、中间数字 8 单点,131,286,664598,26 + 0.1
,,"Faded","Alan Walker",,红色,190,B - 右下角数字 3 单点,B - 左上角数字 3 单点,141,290,465424,15 - 0.1
,,"动物森林","范玮琪",,红色,218、219,B - 右上角数字 8 单点,B - 左边数字 1 单点,113,271,660324,26 - 0.1
G,7,"Good Time","Owl City",,红色,143、144,A - 左上角数字 4 单点,A - 下面数字 3 蓝条结尾,190,337,1035684,37 + 0.0
,,"小酒窝","林俊杰",,红色,202、203,B - 右下角数字 5 单点,B - 左下角数字 6 蓝条结尾,152,283,769589,27 - 0.1
,,"背对背拥抱","林俊杰",,红色,286、289,B - 左上角数字 6 蓝条中间,B - 左边数字 5 蓝条中间,225,391,867785,33 + 0.2
,,"帝都","萌萌哒天团",,红色,196,B - 右上角数字 4 单点,B - 左上角数字 8 单点,107,260,518893,16 + 0.0
W,6,"微微一笑很倾城","杨洋",,,43,A - 左上角数字 1 蓝条开始,A - 右下角数字 4 单点,199,423,1004308,26 + 0.0
M,6,"Maps","Maroon 5",,红色,249,B - 左下角数字 5 单点,B - 左上角数字 12 单点,161,366,942622,28 + 0.2
B,7,"Bad Girl","吴亦凡",,,103,A - 左上角数字 1 单点,A - 右下角数字 4 蓝条结尾、左下角数字 5 单点,268,540,1336981,33 + 0.0
J,10,"JELLY JELLY","TWICE",,,284、607,A - 右下角数字 8 绿条结尾、左下角数字 1 单点、右下角数字 1 单点,A - 右下角数字 7 单点、左下角数字 7 单点,352,658,1734459,38 + 0.0
A,6,"Always Online","林俊杰",,红色,44,A - 右上角数字 6 单点,A - 左上角数字 1 单点,187,393,872131,29 + 0.0
W,8,"What Makes You Beautiful","One Direction",,红色,260,B - 左下角数字 9 绿条结尾、右边数字 1 单点,B - 右下角数字 10 单点,140,367,1145175,41 + 0.3
G,6,"给我一个理由忘记","A-Lin",,红色,341,B - 右下角数字 4 绿条结尾、左下角数字 5 单点,B - 右下角数字 3 单点,173,481,863623,24 + 0.1
W,7,"王妃","萧敬腾",,红色,352,B - 下面数字 3 单点,B - 右下角数字 1 绿条中间、左上角数字 6 单点,156,409,1057921,33 + 0.0
J,6,"Jar Of Love","曲婉婷",,红色,226,B - 右上角数字 7 单点、左上角数字 7 单点,B - 右上角数字 2 单点,146,384,1021201,32 - 0.5
H,8,"Here With You","Asher Book",,红色,231,B - 右上角数字 1 单点、左上角数字 1 单点,B - 下面数字 4 单点,167,389,1129587,36 - 0.2
,,"一笑倾城","汪苏泷",,红色,101、300,A - 左边数字 9 蓝条开始,A - 右上角数字 1 单点,154,349,757326,22 + 0.0
B,9,"Baby Boy","王心凌",,,343,B - 右边数字 6 蓝条结尾、中间数字 1 单点,B - 右下角数字 6 蓝条结尾、左下角数字 1 单点,238,588,1522097,38 - 0.5
,,"不完美小孩","TFBOYS",,红色,154,B - 右边数字 5 蓝条中间,B - 右上角数字 1 蓝条中间,128,323,873517,28 - 0.3
W,6,"我们都一样","张杰",,,134、135,A - 右边数字 5 单点,A - 左上角数字 9 蓝条结尾,216,370,914781,22 + 0.2
,,"猫步轻俏","AOA",,红色,191,B - 右边数字 5 绿条结尾,B - 右下角数字 10 单点,117,216,440094,16 + 0.2
,,"李白","李荣浩",,红色,135、136、137、244、245、246,A - 左下角数字 1 单点,A - 右下角数字 3 单点、左下角数字 3 单点,193,337,1004146,28 + 0.0
,,"逆战","张杰",,红色,220,B - 左上角数字 5 蓝条开始,B - 右上角数字 12 绿条中间,197,355,801124,28 - 0.5
T,6,"Trouble Is a Friend","Lenka",,红色,283,B - 左上角数字 4 单点,B - 右下角数字 6 蓝条结尾、左边数字 7 绿条开始,156,386,1002309,35 + 0.1
R,7,"Rage Your Dream","M.O.V.E",,红色,135,A - 右上角数字 8 单点、左上角数字 8 单点,A - 左下角数字 4 蓝条结尾,249,399,1008461,31 - 0.5
B,8,"Bright Spring","M2U",,红色,276,B - 右下角数字 2 单点,B - 左下角数字 1 单点,198,381,1098987,32 - 0.3
L,7,"Landing","温岚",,红色,216,B - 下面数字 6 蓝条开始,B - 左上角数字 3 单点、右上角数字 3 单点,143,306,1018851,29 - 0.1
B,7,"Bo Peep Bo Peep","T-ara",,红色,370,B - 右下角数字 1 单点,B - 右上角数字 4 蓝条结尾,203,447,1071876,31 + 0.0
J,10,"禁绝边境线","Walküre",,,605、606,B - 右上角数字 6 单点,B - 右上角数字 2 蓝条结尾、左上角数字 2 蓝条结尾,359,789,1888989,47 + 0.2
X,7,"幸福的节拍","杨丞琳",,红色,280、280,B - 中间数字 6 单点（cool）、右下角数字 7 单点,B - 右下角数字 3 单点、右下角数字 4 单点（cool）,158,341,966907,30 + 0.0
,,"CALL ME BABY","EXO",,红色,91,B - 右上角数字 2 单点,B - 右上角数字 2 单点,83,193,489439,20 - 0.1
A,8,"Apple Is A","T-ara",,红色,195,B - 左上角数字 2 单点,B - 右下角数字 6 单点,171,329,925333,34 - 0.3
Y,10,"邮递马车","Hermann Necke",,红色,145、145,A - 中间数字 4 单点（cool）、右边数字 5 单点,A - 左下角数字 8 蓝条中间,240,528,1623589,47 + 0.0
Q,8,"七年的爱","金贤政",,红色,79、79,A - 中间数字 5 单点（cool）、左上角数字 6 单点,A - 右下角数字 7 单点,134,406,977767,33 + 0.0
,,"Boom Clap","Charli XCX",,红色,199、200,B - 右上角数字 1 单点,B - 右上角数字 5 单点,88,246,655554,24 + 0.3
Z,7,"怎样说清此刻的心情","BY2",,红色,254、257、260、261,B - 左上角数字 5 蓝条开始,B - 左下角数字 4 单点、右下角数字 4 单点,188,330,864914,28 + 0.0
R,6,"Right Now","rihanna",,红色,304、304、307、307、310、310,B - 中间数字 2 单点（cool）、左下角数字 3 单点,B - 左上角数字 3 蓝条中间,241,449,1030685,30 + 0.0
,,"棉花糖","至上励合",,红色,86,B - 左下角数字 5 单点,B - 右下角数字 3 单点,75,204,538898,25 - 0.1
F,10,"Firefly","Abba Teens",,红色,456,B - 右上角数字 2 单点,B - 左上角数字 8 单点、左上角数字 8 单点,269,514,1581571,47 - 0.2
P,10,"Play 我呸","蔡依林",,,269,A - 右上角数字 12 蓝条结尾、左下角数字 1 单点,A - 右上角数字 13 蓝条结尾、左边数字 14 绿条开始,378,742,2297656,46 + 0.3
O,8,"偶像万万岁","TimeZ",,红色,254,B - 右上角数字 2 单点、左上角数字 2 单点,B - 右上角数字 1 单点,227,482,1318954,35 + 0.0
,,"萤火","TFBOYS",,红色,235,B - 左边数字 3 单点,B - 左上角数字 6 绿条结尾、右上角数字 6 绿条结尾,123,282,780680,26 - 0.4
N,6,"New Divide","Linkin Park",,红色,288、289、290,B - 左下角数字 1 单点,B - 右下角数字 5 绿条结尾、左下角数字 6 单点,219,349,928828,30 - 0.2
,,"Blue Skies","Lenka",,红色,207、208,B - 左上角数字 1 单点,B - 右上角数字 4 单点,126,377,685982,22 + 0.0
Z,6,"直到世界终结 ","WANDS",,红色,142,B - 右上角数字 4 蓝条开始,B - 左下角数字 8 蓝条结尾、右上角数字 1 单点,69,238,763057,32 + 0.1
,,"让我心动","Apink",,红色,263,B - 右上角数字 1 蓝条开始,B - 左下角数字 3 单点,145,352,691414,22 + 0.1
B,6,"Bad Romance","Lady Gaga",,,214,B - 右上角数字 3 单点,B - 左下角数字 7 蓝条结尾,211,426,954334,25 + 0.0
,,"今天你要嫁给我","陶喆/蔡依林",,红色,120,B - 右上角数字 1 单点,B - 右下角数字 2 绿条开始,80,168,346552,14 + 0.0
B,6,"Booty Music","Git Fresh",,红色,281、284,B - 右边数字 6 蓝条开始,B - 右上角数字 1 单点,191,382,898937,24 - 0.1
B,7,"BONAMANA","Super Junior",,红色,99,A - 右下角数字 3 蓝条开始、左下角数字 3 蓝条开始,A - 左上角数字 2 蓝条中间,203,431,1231740,37 + 0.0
T,6,"Try Everything","Shakira",,红色,212、213、214、257、258、259,B - 下面数字 1 单点,B - 右上角数字 8 单点,160,349,932593,26 - 0.5
B,6,"Born This Way","Lady Gaga",,红色,277、280,B - 左上角数字 1 蓝条结尾、右上角数字 2 蓝条开始,B - 右上角数字 4 蓝条结尾、左上角数字 5 蓝条开始,163,378,1082265,38 + 0.1
D,6,"等我先说","夏天Alex",,红色,149,A - 右下角数字 1 单点,A - 左下角数字 12 单点,198,380,1021529,30 - 0.1
,,"第一次爱的人","王心凌",,红色,86,A - 右边数字 2 单点,A - 右上角数字 2 单点,124,266,551129,19 - 0.3
