字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"我们不该这样的","张赫宣",,红色,分开,324 + 382、324 + 383、324 + 384、324 + 387、324 + 382、324 + 383、324 + 384、324 + 387、324 + 382、324 + 383,B - 左下单点、右下单点^^^B - 右下单点,B - 左下左滑条结尾^^^B - 左边单点、右边单点,184,470,69 - 0.3,382、383、384、387,B - 右下单点,B - 左边单点、右边单点,184,470,1017679,36 + 0.4
,,"不完美小孩","TFBOYS",,红色,分开,306 + 576、311 + 576,B - 左下长条开始^^^B - 右下单点,B - 左边长条开始^^^B - 左边单点,306,706,64 - 0.2,306、311,B - 左下长条开始,B - 左边长条开始,306,706,1193718,32 - 0.1
,,"Faded","Alan Walker",,红色,分开,125 + 329,A - 右下单点^^^B - 左边单点,A - 右下单点^^^B - 左下滑点,199,443,59 - 0.2,329,B - 左边单点,B - 左下滑点,199,443,904201,31 - 0.2
,,"唐人","孙子涵",,红色,分开,214 + 430、215 + 430、217 + 430,B - 右下单点^^^B - 左边右滑条中间,B - 右边滑点^^^B - 左边单点,191,522,61 - 0.1,430,B - 左边右滑条中间,B - 左边单点,191,522,1052073,32 - 0.5
,,"微微一笑很倾城","杨洋",,,分开,455 + 540,B - 右边单点^^^B - 左边单点,B - 左边单点、右边单点^^^B - 左边单点、右边单点,345,677,63 + 0.4,455、540,B - 右边单点,B - 左边单点、右边单点,345,677,1297777,32 - 0.3
,,"逆战","张杰",,,分开,291 + 529、291 + 530、292 + 529、292 + 530,A - 左下长条结尾^^^B - 左边长条结尾,A - 右边滑点^^^B - 右边滑点,377,693,62 - 0.3,291、292,A - 左下长条结尾,A - 右边滑点,377,693,1190196,31 + 0.0
,,"李白","李荣浩",,红色,分开,236 + 506,A - 左下单点、右下单点^^^B - 右边单点,A - 左边单点^^^B - 左边单点、右边单点,343,658,77 + 0.2,506,B - 右边单点,B - 左边单点、右边单点,343,658,1381034,41 + 0.0
W,6,"Wonderland","gugudan",,红色,分开,223 + 503,A - 左边单点、右下单点^^^B - 右下滑点,A - 左下单点^^^B - 左下单点,384,674,78 + 0.2,223,A - 左边单点、右下单点,A - 左下单点,384,674,1268758,40 - 0.3
W,7,"我们的歌","王力宏",,,分开,220 + 747、220 + 748、221 + 747、221 + 748,A - 右下单点^^^B - 左下单点,A - 中间单点^^^B - 中间单点,498,999,63 + 0.4,220、221、747、748,A - 右下单点,A - 中间单点,498,999,1666230,32 - 0.3
,,"浪漫惊喜","kent王健",100,红色,分开,83 + 136,A - 右边左滑条中间^^^A - 左下单点,A - 左边单点^^^A - 左下左滑条结尾、右下右滑条结尾,241,432,64 - 0.2,136,A - 左下单点,A - 左下左滑条结尾、右下右滑条结尾,241,432,785970,39 - 0.2
Y,9,"邮递马车","Hermann Necke",,红色,分开,329 + 626、329 + 628、330 + 626、330 + 628,B - 左边右滑条中间^^^B - 左边单点,B - 右下右滑条结尾、左下左滑条结尾^^^B - 左下滑点、右边单点,282,811,105 - 0.2,329,B - 左边右滑条中间,B - 右下右滑条结尾、左下左滑条结尾,282,811,1722752,57 + 0.2
H,6,"Here With You","Asher Book",,红色,分开,449 + 551、451 + 551,B - 左下单点^^^B - 左边单点,B - 右边滑点^^^B - 左下单点、右边单点,254,586,66 - 0.2,551,B - 左边单点,B - 左下单点、右边单点,254,586,1188291,33 + 0.0
