字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Animals","Maroon 5",,红色,分开,60 + 331、60 + 332,A - 一轨长条开始^^^B - 四轨长条结尾,A - 四轨长条中间^^^B - 一轨单点、四轨单点,201,362,43 + 0.0,331、332,B - 四轨长条结尾,B - 一轨单点、四轨单点,201,362,592507,24 - 0.3
,,"Faded","Alan Walker",,红色,分开,60 + 290、60 + 303,A - 四轨单点^^^B - 二轨单点,A - 三轨长条中间^^^B - 三轨长条中间,156,345,39 - 0.5,290、303,B - 二轨单点,B - 三轨长条中间,156,345,587953,20 - 0.3
,,"动物森林","范玮琪",,红色,分开,186 + 263、186 + 264、187 + 263、187 + 264,B - 一轨长条中间^^^B - 二一轨滑键,B - 三四轨滑键^^^B - 三轨长条结尾,137,305,46 - 0.1,186,B - 一轨长条中间,B - 三四轨滑键,137,305,703043,23 + 0.1
H,6,"Here With You","Asher Book",,红色,分开,122 + 429,A - 二轨长条中间^^^B - 一轨单点、四轨单点,A - 四三轨滑键^^^B - 二轨长条中间、三轨长条中间,236,502,68 - 0.2,429,B - 一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,236,502,1209784,38 - 0.5
,,"逆战","张杰",,红色,分开,67 + 238,A - 二轨单点^^^B - 三轨单点,A - 二一轨滑键、三四轨滑键^^^B - 二轨单点、三轨单点,179,350,65 - 0.5,67,A - 二轨单点,A - 二一轨滑键、三四轨滑键,179,350,1042784,36 - 0.5
,,"Trouble Is a Friend","Lenka",,红色,分开,336 + 410,B - 二一轨滑键^^^B - 三轨长条中间,B - 一轨长条结尾、三轨单点^^^B - 四三轨滑键,220,592,62 + 0.0,410,B - 三轨长条中间,B - 四三轨滑键,220,592,1112068,32 + 0.0
O,7,"偶像万万岁","TimeZ",,,分开,67 + 455,A - 二轨长条开始^^^B - 一轨单点、四轨单点,A - 二轨单点、三轨单点^^^B - 四轨长条中间,272,572,61 + 0.1,67,A - 二轨长条开始,A - 二轨单点、三轨单点,272,572,1186615,31 + 0.1
J,6,"Jar Of Love","曲婉婷",,红色,分开,201 + 456、203 + 456,A - 三轨单点^^^B - 二轨单点,A - 二轨单点^^^B - 四轨长条左滑,281,769,71 - 0.5,456,B - 二轨单点,B - 四轨长条左滑,281,769,1395973,39 - 0.2
P,10,"Play 我呸","蔡依林",50,,分开,638 + 736,B - 一轨单点^^^B - 二轨长条中间,B - 二轨长条中间、四轨长条左滑^^^B - 三轨单点,570,1130,95 - 0.1,717,B - 一轨长条中间、四轨单点,B - 二轨长条中间、四轨长条中间,570,1130,2400523,50 + 0.4
,,"我们都一样","张杰",,,分开,420 + 478,B - 一轨长条开始^^^B - 二轨单点,B - 三轨长条中间^^^B - 三轨长条中间,327,530,46 - 0.5,420,B - 一轨长条开始,B - 三轨长条中间,327,530,935116,24 - 0.5
