字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"唐人","孙子涵",,红色,分开,49 + 267,A - 右下角数字 5 蓝条中间^^^B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,A - 右上角数字 6 单点^^^B - 下面数字 1 蓝条结尾,131,354,51 - 0.4,267,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,131,354,829949,25 + 0.1
,,"Animals","Maroon 5",,红色,分开,37 + 164,A - 右下角数字 5 单点^^^B - 左上角数字 6 单点,A - 右边数字 5 绿条中间^^^B - 右边数字 7 绿条中间,99,187,26 - 0.3,164,B - 左上角数字 6 单点,B - 右边数字 7 绿条中间,99,187,370451,13 + 0.3
W,7,"Wonderland","gugudan",,红色,分开,108 + 220、108 + 244,A - 右边数字 4 单点^^^B - 右边数字 4 单点,A - 左边数字 9 单点、右边数字 9 单点^^^B - 左上角数字 9 单点、右上角数字 9 单点,164,317,56 + 0.4,108、220、244,A - 右边数字 4 单点,A - 左边数字 9 单点、右边数字 9 单点,164,317,881745,28 + 0.2
,,"我们不该这样的","张赫宣",,红色,分开,91 + 248,A - 右边数字 6 单点、左边数字 6 单点^^^B - 下面数字 6 单点,A - 左下角数字 13 绿条开始^^^B - 中间数字 8 单点、中间数字 8 单点,131,286,49 - 0.1,248,B - 下面数字 6 单点,B - 中间数字 8 单点、中间数字 8 单点,131,286,664478,25 + 0.1
,,"Faded","Alan Walker",,红色,分开,105 + 220,A - 右下角数字 1 单点^^^B - 左上角数字 3 单点,A - 左上角数字 7 绿条中间^^^B - 右上角数字 6 单点,141,290,29 - 0.5,220,B - 左上角数字 3 单点,B - 右上角数字 6 单点,141,290,463306,15 - 0.5
,,"动物森林","范玮琪",,红色,分开,157 + 223,B - 左下角数字 8 单点^^^B - 右下角数字 1 单点,B - 中间数字 8 蓝条结尾^^^B - 中间数字 3 绿条中间,113,271,43 + 0.3,223,B - 右下角数字 1 单点,B - 中间数字 3 绿条中间,113,271,656611,25 + 0.2
G,7,"Good Time","Owl City",,红色,分开,143 + 279、143 + 280、143 + 281、143 + 282、143 + 283、144 + 279、144 + 280、144 + 281、144 + 282、144 + 283,A - 左上角数字 4 单点^^^B - 右下角数字 3 蓝条开始,A - 下面数字 3 蓝条中间^^^B - 左下角数字 5 蓝条中间,190,337,66 - 0.5,143、144、145,A - 左上角数字 4 单点,A - 下面数字 3 蓝条中间,190,337,1030380,36 + 0.0
,,"小酒窝","林俊杰",,红色,分开,80 + 202、80 + 203、80 + 204,A - 左边数字 6 蓝条中间^^^B - 右下角数字 5 单点,A - 左下角数字 7 单点^^^B - 左下角数字 6 蓝条中间,152,283,52 - 0.2,202、203、204,B - 右下角数字 5 单点,B - 左下角数字 6 蓝条中间,152,283,764285,26 - 0.1
,,"背对背拥抱","林俊杰",,红色,分开,158 + 285、158 + 286、158 + 287、158 + 288、158 + 289、158 + 290、158 + 291、158 + 285、158 + 286、158 + 287,A - 左下角数字 1 单点^^^B - 左上角数字 6 蓝条开始,A - 下面数字 7 单点^^^B - 左边数字 5 蓝条中间,225,391,58 - 0.3,285、286、287、288、289、290、291,B - 左上角数字 6 蓝条开始,B - 左边数字 5 蓝条中间,225,391,862241,30 + 0.2
,,"帝都","萌萌哒天团",,红色,分开,178 + 214,B - 右上角数字 4 单点^^^B - 右上角数字 4 单点,B - 左下角数字 7 绿条中间^^^B - 左下角数字 7 单点,107,260,30 + 0.1,214,B - 右上角数字 4 单点,B - 左下角数字 7 单点,107,260,516242,16 - 0.5
